	SubjectID1	SubjectID2	Group1	Group2	Distance
48	G2	A10	G	A	0.7005020144529002
49	G2	A2	G	A	0.7234124192620068
50	G2	A1	G	A	0.8390516083647759
51	G9	B12	G	B	0.7393361898062288
52	G9	B11	G	B	0.6702372577860204
53	G9	B10	G	B	0.7196712924474004
54	G9	B9	G	B	0.7216537699047132
55	G9	B4	G	B	0.6721557843576134
56	G9	B1	G	B	0.6991110826884952
57	G7	B12	G	B	0.7378653194346741
58	G7	B11	G	B	0.6994788002813839
59	G7	B10	G	B	0.7485291296284453
60	G7	B9	G	B	0.6996226897742533
61	G7	B4	G	B	0.7033798043102897
62	G7	B1	G	B	0.7080801944106926
63	G6	B12	G	B	0.8856078531687663
64	G6	B11	G	B	0.7706241606446249
65	G6	B10	G	B	0.9154729167998977
66	G6	B9	G	B	0.9027147150988041
67	G6	B4	G	B	0.8821225298970391
68	G6	B1	G	B	0.8971030248768945
69	G5	B12	G	B	0.8368932659717337
70	G5	B11	G	B	0.7172411587900492
71	G5	B10	G	B	0.8995331585342456
72	G5	B9	G	B	0.8013365735115431
73	G5	B4	G	B	0.8342872673786532
74	G5	B1	G	B	0.8209854831489416
75	G3	B12	G	B	0.8539681524589116
76	G3	B11	G	B	0.7352753085630236
77	G3	B10	G	B	0.9136343288354544
78	G3	B9	G	B	0.8382522222932788
79	G3	B4	G	B	0.852465306644497
80	G3	B1	G	B	0.845318795165313
81	G2	B12	G	B	0.796971925561169
82	G2	B11	G	B	0.6932116134808467
83	G2	B10	G	B	0.8367014133145744
84	G2	B9	G	B	0.7724467608876383
85	G2	B4	G	B	0.7742373856877918
86	G2	B1	G	B	0.7727025644305173
